block,time,collateralUSDC,collateralSymbolUSDC,ratePerSecUSDC,fullUtilizationRateUSDC,lowExchangeRateUSDC,highExchangeRateUSDC,totalAssetUSDC,totalCollateralUSDC,totalBorrowUSDC,newCurrentRateInfoUSDC,feeToProtocolRateUSDC,virtualPriceUSDC,collateralmkUSD,collateralSymbolmkUSD,ratePerSecmkUSD,fullUtilizationRatemkUSD,lowExchangeRatemkUSD,highExchangeRatemkUSD,totalAssetmkUSD,totalCollateralmkUSD,totalBorrowmkUSD,newCurrentRateInfomkUSD,feeToProtocolRatemkUSD,virtualPricemkUSD,collateralUSDT,collateralSymbolUSDT,ratePerSecUSDT,fullUtilizationRateUSDT,lowExchangeRateUSDT,highExchangeRateUSDT,totalAssetUSDT,totalCollateralUSDT,totalBorrowUSDT,newCurrentRateInfoUSDT,feeToProtocolRateUSDT,virtualPriceUSDT,collateralFRAX,collateralSymbolFRAX,ratePerSecFRAX,fullUtilizationRateFRAX,lowExchangeRateFRAX,highExchangeRateFRAX,totalAssetFRAX,totalCollateralFRAX,totalBorrowFRAX,newCurrentRateInfoFRAX,feeToProtocolRateFRAX,virtualPriceFRAX,maxLTVUSDC,maxLTVmkUSD,maxLTVUSDT,maxLTVFRAX,Unnamed: 54
19121700,2024-01-30 20:27,0x7cA00559B978CFde81297849be6151d3ccB408A9,yvCurve-USDC-crvUSD-f,633779108,633779108,0.959338,0.959338,517849.414,20.0,10.013974,633779108,0,1.005826313,0xd901DCf4948a29d7D9D7E015AAF61591825AC267,yvCurve-mkUSD-crvUSD-f,633779108,9506686623,0.998373,0.998373,345199.6,0.0,0.0,633779108,0,1.002007085,0x241AdD131B9aaa7527132b752252b99420937ADc,yvCurve-USDT-crvUSD-f,5703932751,5704011974,0.917616,0.917616,517799.5508,45.89977,22.150786,633953397,0,1.005542923,0x8176b059BD8f63aeB7e20282b12D243b4626E2AE,yvCurve-FRAX-crvUSD-f,633779108,3802674649,0.96346,0.96346,345199.6,0.0,0.0,633779108,0,1.00127947,,,,,
19122900,2024-01-31 0:28,0x7cA00559B978CFde81297849be6151d3ccB408A9,yvCurve-USDC-crvUSD-f,633779108,633779108,0.959338,0.959338,517849.414,20.0,10.013974,633779108,0,1.005826313,0xd901DCf4948a29d7D9D7E015AAF61591825AC267,yvCurve-mkUSD-crvUSD-f,633779108,9506686623,0.998373,0.998373,345199.6,0.0,0.0,633779108,0,1.002007085,0x241AdD131B9aaa7527132b752252b99420937ADc,yvCurve-USDT-crvUSD-f,5703932751,5704011974,0.917616,0.917616,517799.5508,45.89977,22.150786,633953397,0,1.005542923,0x8176b059BD8f63aeB7e20282b12D243b4626E2AE,yvCurve-FRAX-crvUSD-f,633779108,3802674649,0.96346,0.96346,345199.6,0.0,0.0,633779108,0,1.00127947,,,,,
19124100,2024-01-31 4:30,0x7cA00559B978CFde81297849be6151d3ccB408A9,yvCurve-USDC-crvUSD-f,633779108,633779108,0.961897,0.961897,517849.4141,33324.89024,29864.45214,633779108,0,1.005826313,0xd901DCf4948a29d7D9D7E015AAF61591825AC267,yvCurve-mkUSD-crvUSD-f,633779108,9506686623,0.998373,0.998373,345199.6,0.0,0.0,633779108,0,1.002007085,0x241AdD131B9aaa7527132b752252b99420937ADc,yvCurve-USDT-crvUSD-f,5703932751,5704011974,0.917616,0.917616,517799.5508,45.89977,22.150786,633953397,0,1.005542923,0x8176b059BD8f63aeB7e20282b12D243b4626E2AE,yvCurve-FRAX-crvUSD-f,633779108,3802674649,0.96346,0.96346,345199.6,0.0,0.0,633779108,0,1.00127947,,,,,
19125300,2024-01-31 8:33,0x7cA00559B978CFde81297849be6151d3ccB408A9,yvCurve-USDC-crvUSD-f,633779108,633779108,0.961897,0.961897,517849.4141,33324.89024,29864.45214,633779108,0,1.005826313,0xd901DCf4948a29d7D9D7E015AAF61591825AC267,yvCurve-mkUSD-crvUSD-f,633779108,9506686623,0.998373,0.998373,345199.6,0.0,0.0,633779108,0,1.002007085,0x241AdD131B9aaa7527132b752252b99420937ADc,yvCurve-USDT-crvUSD-f,5703932751,5704011974,0.917616,0.917616,517799.5508,45.89977,22.150786,633953397,0,1.005542923,0x8176b059BD8f63aeB7e20282b12D243b4626E2AE,yvCurve-FRAX-crvUSD-f,633779108,3802674649,0.96346,0.96346,345199.6,0.0,0.0,633779108,0,1.00127947,,,,,
19126500,2024-01-31 12:35,0x7cA00559B978CFde81297849be6151d3ccB408A9,yvCurve-USDC-crvUSD-f,633779108,633779108,0.961897,0.961897,517849.4141,33324.89024,29864.45214,633779108,0,1.005826313,0xd901DCf4948a29d7D9D7E015AAF61591825AC267,yvCurve-mkUSD-crvUSD-f,633779108,9506686623,0.998373,0.998373,345199.6,0.0,0.0,633779108,0,1.002007085,0x241AdD131B9aaa7527132b752252b99420937ADc,yvCurve-USDT-crvUSD-f,5703932751,5704011974,0.917616,0.917616,517799.5508,45.89977,22.150786,633953397,0,1.005542923,0x8176b059BD8f63aeB7e20282b12D243b4626E2AE,yvCurve-FRAX-crvUSD-f,633779108,3802674649,0.96346,0.96346,345199.6,0.0,0.0,633779108,0,1.00127947,,,,,
19127700,2024-01-31 16:38,0x7cA00559B978CFde81297849be6151d3ccB408A9,yvCurve-USDC-crvUSD-f,633779108,633779108,0.961897,0.961897,517849.4141,33324.89024,29864.45214,633779108,0,1.005826313,0xd901DCf4948a29d7D9D7E015AAF61591825AC267,yvCurve-mkUSD-crvUSD-f,633779108,9506686623,0.998373,0.998373,345199.6,0.0,0.0,633779108,0,1.002007085,0x241AdD131B9aaa7527132b752252b99420937ADc,yvCurve-USDT-crvUSD-f,5703932751,5704011974,0.917616,0.917616,517799.5508,45.89977,22.150786,633953397,0,1.005542923,0x8176b059BD8f63aeB7e20282b12D243b4626E2AE,yvCurve-FRAX-crvUSD-f,633779108,3802674649,0.96346,0.96346,345199.6,0.0,0.0,633779108,0,1.00127947,,,,,
19128900,2024-01-31 20:39,0x7cA00559B978CFde81297849be6151d3ccB408A9,yvCurve-USDC-crvUSD-f,633779108,633779108,0.95611704,0.961897,517849.4141,33324.89024,29864.45214,633779108,0,1.005826313,0xd901DCf4948a29d7D9D7E015AAF61591825AC267,yvCurve-mkUSD-crvUSD-f,633779108,9506686623,0.997996935,0.998373,345199.6,0.0,0.0,633779108,0,1.002007085,0x241AdD131B9aaa7527132b752252b99420937ADc,yvCurve-USDT-crvUSD-f,5703932751,5704011974,0.90354892,0.917616,517799.5508,45.89977,22.150786,633953397,0,1.005542923,0x8176b059BD8f63aeB7e20282b12D243b4626E2AE,yvCurve-FRAX-crvUSD-f,633779108,3802674649,0.9551171,0.96346,345319.6,0.0,0.0,633779108,0,1.00127947,,,,,
19130100,2024-02-01 0:42,0x7cA00559B978CFde81297849be6151d3ccB408A9,yvCurve-USDC-crvUSD-f,633779108,633779108,0.955906219,0.961897,517849.4141,33324.89024,29864.45214,633779108,0,1.005831813,0xd901DCf4948a29d7D9D7E015AAF61591825AC267,yvCurve-mkUSD-crvUSD-f,633779108,9506686623,0.99799282,0.998373,345199.6,0.0,0.0,633779108,0,1.002011217,0x241AdD131B9aaa7527132b752252b99420937ADc,yvCurve-USDT-crvUSD-f,5703932751,5704011974,0.903294607,0.917616,517799.5508,45.89977,22.150786,633953397,0,1.005550392,0x8176b059BD8f63aeB7e20282b12D243b4626E2AE,yvCurve-FRAX-crvUSD-f,633779108,3802674649,0.965004812,0.96346,345319.6,0.0,0.0,633779108,0,1.001285043,,,,,
19131300,2024-02-01 4:45,0x7cA00559B978CFde81297849be6151d3ccB408A9,yvCurve-USDC-crvUSD-f,633779108,633779108,0.954715263,0.961897,517849.4141,33324.89024,29864.45214,633779108,0,1.005834729,0xd901DCf4948a29d7D9D7E015AAF61591825AC267,yvCurve-mkUSD-crvUSD-f,633779108,9506686623,0.997991746,0.998373,345199.6,0.0,0.0,633779108,0,1.002012296,0x241AdD131B9aaa7527132b752252b99420937ADc,yvCurve-USDT-crvUSD-f,633953397,5704011974,0.903108611,0.903193,517799.5524,66024.33693,63117.27068,1164882039,0,1.005553439,0x8176b059BD8f63aeB7e20282b12D243b4626E2AE,yvCurve-FRAX-crvUSD-f,633779108,3802674649,0.953948851,0.96346,345319.6,0.0,0.0,633779108,0,1.001287186,,,,,
19132500,2024-02-01 8:48,0x7cA00559B978CFde81297849be6151d3ccB408A9,yvCurve-USDC-crvUSD-f,633779108,633779108,0.954481418,0.961897,517849.4141,33324.89024,29864.45214,633779108,0,1.005844412,0xd901DCf4948a29d7D9D7E015AAF61591825AC267,yvCurve-mkUSD-crvUSD-f,633779108,9506686623,0.997991384,0.998373,345199.6,0.0,0.0,633779108,0,1.002012658,0x241AdD131B9aaa7527132b752252b99420937ADc,yvCurve-USDT-crvUSD-f,1173727219,5704011974,0.902980864,0.903006,517800.9709,232991.8948,212042.4119,2418065353,0,1.005556237,0x8176b059BD8f63aeB7e20282b12D243b4626E2AE,yvCurve-FRAX-crvUSD-f,633779108,3802674649,0.95338646,0.96346,345319.6,0.0,0.0,633779108,0,1.001287785,,,,,
